qId,column,matched,pattern,full_text
R1gakkaA-057,choiceD,。 2,。に続いて数字のみ,河川管理者が管理する河川区域内の土地に工作物の新築等の許可を河川管理者から受ける者 は、あらためて土地の占用の許可を受ける必要はない。 2
R2gakkaA-007,choiceC,。 3,。に続いて数字のみ,高性能AE 減水剤を用いたコンクリートは、通常のコンクリートと比べて、コンクリート温度や 使用材料などの諸条件の変化に対して、ワーカビリティーなどが影響を受けやすい傾向にある。 3
R2gakkaA-010,choiceA,。 2,。に続いて数字のみ,鉄筋を組み立ててからコンクリートを打ち込む前に生じた浮きさびは、除去する必要がある。 2
R2gakkaB-029,choiceC,。 挨3,。に続いて漢字+数字,"空気量試験を行ったところ,4.5 %の指定に対して6.5 %であったため合格と判定した。 挨3"
R3gakkaB-016,choiceA,。 33,。に続いて数字のみ,現場での荷卸し時や打ち込む前にコンクリートの状態に異常が無いか、目視で確かめる。 33
R4gakkaA-050,choiceB,。),。に続いて短い文字,退職に関する事項(解雇の事由を含む。)
R4gakkaA-057,choiceD,。 2,。に続いて数字のみ,河川区域内にある民有地で公園等を整備する場合は、民有地であるため河川管理者の許可は必 要ない。 2
R4gakkaB-016,choiceB,。 挨3,。に続いて漢字+数字,"空気量試験を行ったところ,4.5 %の指定に対して3.0 %であったため、合格と判定した。 挨3"
R4gakkaB-016,choiceC,。 3,。に続いて数字のみ,塩化物含有量の検査を行ったところ、塩化物イオン(Cl )量として1.0 kg/m であったた め、合格と判定した。 3
R6gakkaA-011,choiceA,。 3,。に続いて数字のみ,"粗骨材は,Qmm 網ふるいにかけたときに質量で85 %以上留まる骨材である。 3"
R6gakkaB-016,choiceB,。 挨3,。に続いて漢字+数字,空気量試験を行ったところ、空気量4.5 %の指定に対して6.5 %であったため、合格と判 定した。 挨3
R6gakkaB-016,choiceC,。 3,。に続いて数字のみ,塩化物含有量の検査を行ったところ、塩化物イオン(Cl )量として1.2 kg/m であったた め、合格と判定した。 3
R7gakkaA-029,choiceA,。 1,。に続いて数字のみ,コンクリートの打込み前の岩盤は、溜り水はあってはならないが、打ち込まれるコンクリート が十分馴染むように、湿潤状態とする必要がある。 1
R7gakkaB-019,choiceB,。 3,。に続いて数字のみ,"建設工事事業者は、適切な施工方法の選択、資材置場の確保及び施工機械の選定に配慮し, 再生資源が発生した場合、当該工事現場から全て搬出するものとする。 3"
