qId,source_ref,stem
R2gakkaA-006,R2 学科A No.6,コンクリート用骨材に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-007,R2 学科A No.7,コンクリート用混和材料に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-008,R2 学科A No.8,コンクリートの打込み・締固めに関する次の記述のうち、適当でないものはどれか。
R2gakkaA-009,R2 学科A No.9,コンクリートの配合に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-010,R2 学科A No.10,鉄筋の加工・組立に関する次の記述のうち、適当なものはどれか。
R2gakkaA-011,R2 学科A No.11,コンクリートの養生に関する次の記述のうち、適当なものはどれか。
R2gakkaA-012,R2 学科A No.12,構造物の基礎に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-013,R2 学科A No.13,中掘り杭工法の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-014,R2 学科A No.14,場所打ち杭工法の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-015,R2 学科A No.15,土留め支保工の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-016,R2 学科A No.16,鋼道路橋の架設上の留意事項に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-017,R2 学科A No.17,鋼道路橋に用いる耐候性鋼材に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-018,R2 学科A No.18,鋼道路橋における高力ボルトの締付け作業に関する次の記述のうち、適当なものはどれ か。
R2gakkaA-019,R2 学科A No.19,コンクリート構造物の劣化に関する次の記述のうち、適当なものはどれか。
R2gakkaA-020,R2 学科A No.20,損傷を生じた鉄筋コンクリート構造物の補修に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-021,R2 学科A No.21,河川堤防の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-022,R2 学科A No.22,河川堤防における軟弱地盤対策工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-023,R2 学科A No.23,多自然川づくりにおける護岸に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-024,R2 学科A No.24,砂防えん堤の基礎の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-025,R2 学科A No.25,地すべり防止工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-026,R2 学科A No.26,急傾斜地崩壊防止工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-027,R2 学科A No.27,道路のアスファルト舗装における路床の施工に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-028,R2 学科A No.28,道路のアスファルト舗装における路盤の施工に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-029,R2 学科A No.29,"道路のアスファルト舗装における表層・基層の施工に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaA-030,R2 学科A No.30,道路のアスファルト舗装における補修工法に関する次の記述のうち、適当でないものは どれか。
R2gakkaA-031,R2 学科A No.31,道路のポーラスアスファルト混合物の舗設に関する次の記述のうち、適当でないものは どれか。
R2gakkaA-032,R2 学科A No.32,道路のコンクリート舗装に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-033,R2 学科A No.33,ダムの基礎処理に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-034,R2 学科A No.34,重力式コンクリートダムで各部位のダムコンクリートの配合区分と必要な品質に関する 次の記述のうち、適当なものはどれか。
R2gakkaA-035,R2 学科A No.35,トンネルの山岳工法における掘削の施工に関する次の記述のうち、適当でないものはど れか。
R2gakkaA-036,R2 学科A No.36,"トンネルの山岳工法における覆工コンクリートの施工に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaA-038,R2 学科A No.38,海岸堤防の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-039,R2 学科A No.39,ケーソンの施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-040,R2 学科A No.40,港湾工事に用いる浚渫船の特徴に関する次の記述のうち、適当なものはどれか。
R2gakkaA-041,R2 学科A No.41,鉄道のコンクリート路盤の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-042,R2 学科A No.42,鉄道の軌道における維持管理に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-043,R2 学科A No.43,鉄道(在来線)の営業線及びこれに近接して工事を施工する場合の保安対策に関する次 の記述のうち、適当でないものはどれか。
