qId,segmentId,type,difficulty,tag1,tag2,tag3,lawTag,revisionFlag,conceptId,variantGroupId,source_ref,imageUrl,stem,choiceA,choiceB,choiceC,choiceD,choiceE,explainA,explainB,explainC,explainD,explainE,correct,explainShort,explainLong,status,updatedAt
R1gakkaA-001,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.1,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-001.png,"土質試験結果の活用に関する次の記述のうち,適当でないものはどれか。","土の含水比試験結果は,水と土粒子の質量の比で示され,切土,掘削にともなう湧水量や排水 工法の検討に用いられる。","土の粒度試験結果は,粒径加積曲線で示され,その特性から建設材料としての適性の判定に用 いられる。","CBR 試験結果は,締め固められた土の強さを表すCBR で示され,設計CBR はアスファルト 舗装の舗装厚さの決定に用いられる。","土の圧密試験結果は,圧縮性と圧密速度が示され,圧縮ひずみと粘土層厚の積から最終沈下量 の推定に用いられる。",,,,,,,A,,,published,2026-02-14T18:04:32
R1gakkaA-002,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.2,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-002.png,"土工における土量の変化率に関する次の記述のうち,適当でないものはどれか。","土の掘削・運搬中の損失及び基礎地盤の沈下による盛土量の増加は,原則として変化率に含ま れない。","土量の変化率C は,地山の土量と締め固めた土量の体積比を測定して求める。","土量の変化率は,実際の土工の結果から推定するのが最も的確な決め方で類似現場の実績の値 を活用できる。","地山の密度と土量の変化率L がわかっていれば,土の配分計画を立てることができる。",,,,,,,D,,,published,2026-02-14T18:04:32
R1gakkaA-003,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.3,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-003.png,"盛土の情報化施工に関する次の記述のうち,適当でないものはどれか。","情報化施工を実施するためには,個々の技術に適合した次元データと機器・システムが必要 である。","基本設計データの間違いは出来形管理に致命的な影響を与えるので,基本設計データが設計図 書を基に正しく作成されていることを必ず確認する。","試験施工と同じ土質,含水比の盛土材料を使用し,試験施工で決定したまき出し厚,締固め回 数で施工した盛土も,必ず現場密度試験を実施する。","盛土のまき出し厚や締固め回数は,使用予定材料の種類ごとに事前に試験施工で表面沈下量, 締固め度を確認し,決定する。",,,,,,,C,,,published,2026-02-14T18:04:32
R1gakkaA-004,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.4,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-004.png,"建設発生土を盛土材料として利用する場合の留意点に関する次の記述のうち, 適当でないものはどれか。","セメント及びセメント系固化材を用いて土質改良を行う場合は,六価クロム溶出試験を実施 し,六価クロム溶出量が土壌環境基準以下であることを確認する。","自然由来の重金属などが基準を超え溶出する発生土は,盛土の底部に用いることにより,調査 や対策を行うことなく利用することができる。","ガラ混じり土は,土砂としてではなく全体を産業廃棄物として判断される可能性が高いため, 都道府県などの環境部局などに相談して有効利用することが望ましい。","泥土は,土質改良を行うことにより十分利用が可能であるが,建設汚泥に該当するものを利用 する場合は,廃棄物の処理及び清掃に関する法律に従った手続きが必要である。",,,,,,,C,,,published,2026-02-14T18:04:32
R1gakkaA-005,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.5,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-005.png,"軟弱地盤対策工法に関する次の記述のうち,適当でないものはどれか。","緩速載荷工法は,構造物あるいは構造物に隣接する盛土などの荷重と同等又はそれ以上の盛土 荷重を載荷したのち,盛土を取り除いて地盤の強度増加をはかる工法である。","サンドマット工法は,地盤の表面に一定の厚さの砂を敷設することで,軟弱層の圧密のための 上部排水の促進と施工機械のトラフィカビリティーの確保をはかる工法である。","地下水位低下工法は,地盤中の地下水位を低下させ,それまで受けていた浮力に相当する荷重 を下層の軟弱地盤に載荷して,圧密を促進するとともに地盤の強度増加をはかる工法である。","荷重軽減工法は,土に比べて軽量な材料で盛土を施工することにより,地盤や構造物にかかる 荷重を軽減し,全沈下量の低減,安定確保及び変形対策をはかる工法である。",,,,,,,A,,,published,2026-02-14T18:04:32
R1gakkaA-006,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.6,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-006.png,"コンクリート用細骨材に関する次の記述のうち,適当でないものはどれか。","高炉スラグ細骨材は,粒度調整や塩化物含有量の低減などの目的で,細骨材の一部として山砂 などの天然細骨材と混合して用いられる場合が多い。","細骨材に用いる砕砂は,粒形判定実績率試験により粒形の良否を判定し,角ばりの形状はでき るだけ小さく,細長い粒や偏平な粒の少ないものを選定する。","細骨材中に含まれる粘土塊量の試験方法では,微粉分量試験によって微粒分量を分離したもの を試料として用いる。","再生細骨材L は,コンクリート塊に破砕,磨砕,分級等の処理を行ったコンクリート用骨材 で,JIS A 5308レディーミクストコンクリートの骨材として用いる。",,,,,,,D,,,published,2026-02-14T18:04:32
R1gakkaA-007,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.7,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-007.png,"混和材を用いたコンクリートの特徴に関する次の記述のうち,適当でないものはどれ か。","普通ポルトランドセメントの一部をフライアッシュで置換すると,単位水量を減らすことがで き長期強度の増進や乾燥収縮の低減が期待できる。","普通ポルトランドセメントの一部をシリカフュームで置換すると,水密性や化学抵抗性の向上 が期待できる。","普通ポルトランドセメントの一部を膨張材で置換すると,コンクリートの温度ひび割れ抑制や アルカリシリカ反応の抑制効果が期待できる。","細骨材の一部を石灰石微粉末で置換すると,材料分離の低減やブリーディングの抑制が期待で きる。",,,,,,,C,,,published,2026-02-14T18:04:32
R1gakkaA-008,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.8,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-008.png,"コンクリートの打込みに関する次の記述のうち,適当なものはどれか。","型枠内に打ち込んだコンクリートは,材料分離を防ぐため,棒状バイブレータを用いてコンク リートを横移動させながら充てんする。","コンクリート打込み時にシュートを用いる場合は,縦シュートではなく斜めシュートを標準と する。","コールドジョイントの発生を防ぐためのコンクリートの許容打重ね時間間隔は,外気温が高い ほど長くなる。","コンクリートの打上がり面に帯水が認められた場合は,型枠に接する面が洗われ,砂すじや打 上がり面近くにぜい弱な層を形成するおそれがあるので,スポンジやひしゃくなどで除去する。",,,,,,,D,,,published,2026-02-14T18:04:32
R1gakkaA-009,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.9,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-009.png,"暑中コンクリートに関する次の記述のうち,適当でないものはどれか。","暑中コンクリートでは,運搬中のスランプの低下や連行空気量の増加などの傾向があり,打込 み時のコンクリート温度の上限は,35 °C以下を標準とする。","暑中コンクリートでは,練上がり温度の10 °Cの上昇に対し,所要のスランプを得るために単 位水量が〜 %増加する傾向がある。","暑中コンクリートでは,コールドジョイントの発生防止のため,減水剤,AE 減水剤及び流動 化剤について遅延形のものを用いる。","暑中コンクリートでは,練上がりコンクリートの温度を低くするために,なるべく低い温度の 練混ぜ水を用いる。",,,,,,,A,,,published,2026-02-14T18:04:32
R1gakkaA-010,R1gakkaA,knowledge,3,,,,,0,,,R1 学科A No.10,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R1gakkaA-010.png,"鉄筋の重ね継手に関する次の記述のうち,適当でないものはどれか。","横方向鉄筋の継手は,鉄筋を直接接合する継手を用いることとし,原則として重ね継手を用い てはならない。","重ね継手を設ける場合は,コンクリートのゆきわたりをよくするために,できるだけ同一断面 に集中して配置する。","重ね継手部分を焼なまし鉄線で緊結する際の焼なまし鉄線を巻く長さは,コンクリートと鉄筋 の付着強度が低下しないよう,適切な長さとし,必要以上に長くしない。","継足しのために構造物から露出させておく鉄筋は,セメントペーストを塗ったり,高分子材料 の皮膜で包んだりして,損傷,腐食などから保護しなければならない。",,,,,,,B,,,published,2026-02-14T18:04:32
