row,qId,type,stem,original_choiceA,original_choiceB,original_choiceC,original_choiceD
256,R3gakkaB-003,diagram_short,"下図は,鉄筋コンクリートL 型擁壁の配筋図を示したものである。たて壁とかかと版 の引張鉄筋の組合せで,正しいものはどれか。 1900 1002502004×250=1000100 50200 4×25...",1と2,1と3,2と4,3と4
259,R3gakkaB-006,diagram_short,"下図のネットワーク式工程表で示される工事で,作業E に3日間の遅延が発生した場 合,次の記述のうち,適当なものはどれか。 ただし,図中のイベント間のA〜J は作業内容,数字は当初の作業日数を示す。 B...",当初の工期より2日間遅れる。,当初の工期より3日間遅れる。,当初の工期どおり完了する。,クリティカルパスの経路は当初と変わる。
404,R5gakkaA-020,diagram,"下図に示す(1)〜(4)のコンクリート構造物のひび割れのうち,水和熱に起因する温度応 力により施工後の比較的早い時期に発生すると考えられるものは,次のうちどれか。...",(2),（図2）,(4),（図4）
448,R5gakkaB-003,diagram_short,"下図は,擁壁の配筋図を示したものである。かかと部の引張鉄筋に該当する鉄筋番号 は,次のうちどれか。 1900 1002502004×250=1000100 50200 8×125=10008×125=...",（１）①D22,（２）②D13,（３）③D22,（４）④D13
481,R6gakkaA-001,formula,"下図の土の構成を表した模式図の記号を用いて,湿潤密度ρtと飽和度Sγを求 める式の次の組合せのうち,適当なものはどれか。 [湿潤密度] [飽和度]...",mw Vw ρt = Sγ = ×100 V Vv mw Vw,ρt = Sγ = ×100 V V m Vw,ρt = Sγ = ×100 V V m Vw,ρt = Sγ = ×100 V Vv
482,R6gakkaA-002,diagram_short,"下図の土の粒径加積曲線と三角座標に関する下記の文章中ののB,Cに 当てはまる語句の次の組合せのうち,適当なものはどれか。 ・土の粒径加積曲線Aの土質は,粒径加積曲線Bの土質に比べて,砂の割合は B 。...",B C 多い 多い,多い 少ない,少ない 多い,少ない 少ない
483,R6gakkaA-003,diagram_short,"下図の単純梁に集中荷重Pが作用した場合の,最大の曲げモーメント値(M)を求 める次の式のうち,正しいものはどれか。 ただし,梁の自重は考慮しないものとする。...",PL M = 2 PL,M = 3 PL,M = 6 PL,M = 9
485,R6gakkaA-005,formula,"下図の定常流の流れの管において,断面1(直径d1)を通過する水の流速がv1であ るとき,断面2(直径d2)の流速v2及び流量Q2を求める式の次の組合せの うち,適当なものはどれか。 流速流量 22 d...",11 v2 = ×v1 Q2 = ×v1 d24 22 d π ×d 12,v2 = ×v1 Q2 = ×v1 d24 2 d × 22,v2 = ×v1 Q2 =π ×d1 v1 d1 2 d × 22,v2 = ×v1 Q2 =π ×d2 v1 d1 ※ 問題番号No.6 〜No.20までの15問題のうちから12問題を選択し解答してください。
582,R7gakkaA-001,formula,"下図の土の構成を表した模式図の記号を用いて,湿潤密度ρtと間隙率nを求め る式の次の組合せのうち,適当なものはどれか。 [湿潤密度ρt] [間隙率n]...",m Vv ρt = n = ×100 V V mw Vw,ρt = n = ×100 V Vv m Vw,ρt = n = ×100 V Vv mw Vv,ρt = n = ×100 V V
584,R7gakkaA-003,diagram,"下図の単純梁に集中荷重P が作用した場合の曲げモーメント図として,適当なもの は次の図のうちどれか。 ただし,梁の自重は考慮しないものとする。...",（図1）,（図2）,（図3）,（図4）
585,R7gakkaA-004,formula,"下図は引張力と引張応力との関係を表しているが,Iのように直径D の部材の両端 に軸に沿って離れ合う向きの一対の外力P が作用しているとき,Bのように部材の軸 に沿って引張力が生じることとなる。この場合...",4P σt = πD P,σt = πD 4P,σt = 2 πD P,σt = 2 πD D
586,R7gakkaA-005,formula,"下図の内径D の管路内を水深で流れる流量Qを求める次の式のうち,適当なもの 2 はどれか。 ただし,n は粗度係数,I は動水勾配を表す。 2...",1 πD D 31 Q = × × ×I2 n 84 2 2 1 πD D 31,Q = × × ×I2 n 84 2 1 πD D 31,Q = × × ×I2 n 88 2 2 1 πD D 31,Q = × × ×I2 n 88 ※ 問題番号No.6 〜No.20までの15問題のうちから12問題を選択し解答してください。
606,R7gakkaA-025,diagram,"下図に示す(1)〜(4)のコンクリート構造物のひび割れのうち,コンクリートの沈下や ブリーディングにより施工後の比較的早い時期に発生すると考えられるものは,次の うちどれか。...",(2),（図2）,(4),（図4）
650,R7gakkaB-003,diagram_short,"下図は,逆T型擁壁の配筋図を示したものである。 かかと版の引張鉄筋に該当する鉄筋番号は,次のうちどれか。 1900 1002502004×250=1000100 50200 8×125=10008×1...",（１）①D13,（２）②D22,（３）③D13,（４）④D22
